timestamp,qname,rdata
1760873779.7177587,www.google.com,10.0.0.3
1760873779.7201626,www.google.com,10.0.0.3
1760873779.721455,www.google.com,10.0.0.3
1760873784.4327617,www.cat.com,10.0.0.6
1760873784.4343598,www.cat.com,10.0.0.6
1760873784.4355578,www.cat.com,10.0.0.6
1760873786.773103,www.google.com,10.0.0.3
1760873786.7742746,www.google.com,10.0.0.3
1760873786.9286537,www.google.com,10.0.0.3
1760873786.9294832,www.google.com,10.0.0.3
1760873792.430811,www.test.no,10.0.0.1
1760873792.4319193,www.test.no,10.0.0.1
