timestamp,src_ip,qname,qtype
1760873775.9655516,10.0.0.20,www.dog.no,1
1760873775.9677982,10.0.0.10,www.dog.no,1
1760873775.9686596,10.0.0.20,www.dog.no,1
1760873776.868336,10.0.0.20,ntp.ubuntu.com,1
1760873776.869046,10.0.0.20,ntp.ubuntu.com,28
1760873776.8708868,10.0.0.10,ntp.ubuntu.com,1
1760873776.8718195,10.0.0.20,ntp.ubuntu.com,1
1760873776.8724535,10.0.0.20,ntp.ubuntu.com,28
1760873776.8770716,10.0.0.20,ntp.ubuntu.com,1
1760873776.8777835,10.0.0.20,ntp.ubuntu.com,1
1760873776.8784657,10.0.0.20,ntp.ubuntu.com,28
1760873776.8790739,10.0.0.20,ntp.ubuntu.com,28
1760873776.8853798,10.0.0.20,ntp.ubuntu.com,1
1760873776.8862026,10.0.0.20,ntp.ubuntu.com,28
1760873776.8867831,10.0.0.20,ntp.ubuntu.com,1
1760873776.8874116,10.0.0.20,ntp.ubuntu.com,28
1760873776.8913472,10.0.0.20,ntp.ubuntu.com,1
1760873776.8923564,10.0.0.20,ntp.ubuntu.com,28
1760873776.8931592,10.0.0.20,ntp.ubuntu.com,1
1760873776.894262,10.0.0.20,ntp.ubuntu.com,28
1760873776.8984432,10.0.0.20,ntp.ubuntu.com,1
1760873776.899353,10.0.0.20,ntp.ubuntu.com,1
1760873776.9001737,10.0.0.20,ntp.ubuntu.com,28
1760873776.9008875,10.0.0.20,ntp.ubuntu.com,28
1760873776.9046736,10.0.0.20,ntp.ubuntu.com,1
1760873776.9058454,10.0.0.20,ntp.ubuntu.com,28
1760873776.9067793,10.0.0.20,ntp.ubuntu.com,1
1760873776.9078615,10.0.0.20,ntp.ubuntu.com,28
1760873776.9163976,10.0.0.20,ntp.ubuntu.com,1
1760873776.917617,10.0.0.20,ntp.ubuntu.com,28
1760873776.9188077,10.0.0.20,ntp.ubuntu.com,1
1760873776.9201531,10.0.0.20,ntp.ubuntu.com,28
1760873776.9249563,10.0.0.20,ntp.ubuntu.com,1
1760873776.9261596,10.0.0.20,ntp.ubuntu.com,1
1760873776.9292629,10.0.0.20,ntp.ubuntu.com,28
1760873776.930643,10.0.0.20,ntp.ubuntu.com,28
1760873776.937144,10.0.0.20,ntp.ubuntu.com,1
1760873776.9378383,10.0.0.20,ntp.ubuntu.com,1
1760873776.9385939,10.0.0.20,ntp.ubuntu.com,28
1760873776.9398963,10.0.0.20,ntp.ubuntu.com,28
1760873776.9430394,10.0.0.20,ntp.ubuntu.com,1
